zone_id,reference_pickups
74,12141
75,8458
95,2915
43,2765
166,2649
82,2623
41,2589
97,1898
65,1624
7,1521
129,1398
130,1339
244,1305
42,1174
260,981
134,649
66,598
83,523
33,507
116,439
24,389
92,380
223,370
193,366
196,325
236,324
25,320
152,257
181,220
226,200
210,192
255,190
179,189
80,173
55,160
243,153
112,132
52,129
61,125
264,112
145,109
195,103
146,98
256,92
157,87
17,85
188,85
247,82
49,77
225,73
76,72
168,70
69,68
36,59
89,59
159,59
127,57
173,57
37,54
70,52
189,52
263,52
216,48
28,45
197,45
242,44
62,41
169,41
215,41
56,38
35,36
39,35
40,35
121,35
228,34
29,33
71,33
165,33
191,32
202,32
212,32
138,31
47,30
167,30
217,29
235,29
265,29
78,26
136,26
14,25
51,25
91,25
135,25
132,24
174,24
177,24
119,23
131,23
10,22
198,22
213,22
21,21
72,21
106,21
182,21
122,20
123,20
86,19
18,18
26,18
102,18
238,18
155,17
60,16
108,16
220,16
254,16
53,15
171,15
73,14
85,14
93,14
98,14
133,14
160,14
63,13
126,13
150,13
192,13
205,13
208,13
241,13
248,13
22,12
77,12
94,12
139,12
207,12
218,12
227,12
258,12
149,11
250,11
259,11
67,10
147,10
185,10
219,10
252,10
16,9
19,9
20,9
117,9
180,9
32,8
222,8
38,7
54,7
124,7
200,7
11,6
15,6
34,6
101,6
120,6
151,6
183,6
190,6
203,6
3,5
9,5
81,5
57,4
125,4
154,4
1,3
31,3
253,3
262,3
45,2
87,2
128,2
137,2
140,2
175,2
178,2
201,2
206,2
209,2
239,2
240,2
257,2
23,1
27,1
48,1
64,1
88,1
96,1
118,1
142,1
143,1
153,1
162,1
184,1
194,1
221,1
229,1
230,1
231,1
232,1
237,1
